SMILES,LC50,Structure
COC(C)(C)CCCC(C)C\C=C\C(C)=C\C(=O)OC(C)C,1.04,<rdkit.Chem.rdchem.Mol object at 0x315a8fd80>
ClBr,0.71,<rdkit.Chem.rdchem.Mol object at 0x315a8fdf0>
CN1CSC(=S)N(C)C1,0.55,<rdkit.Chem.rdchem.Mol object at 0x315a8fe60>
CCCCCCCCN1SC=CC1=O,0.18,<rdkit.Chem.rdchem.Mol object at 0x315a8fed0>
CCc1cccc(C)c1N(C(C)COC)C(=O)CCl,13.0,<rdkit.Chem.rdchem.Mol object at 0x315a8ff40>
CN(C)C1=NC(=O)N(C2CCCCC2)C(=O)N1C,152.0,<rdkit.Chem.rdchem.Mol object at 0x315aa8040>
CCO[P](=O)(SC(C)CC)N1CCSC1=O,0.66,<rdkit.Chem.rdchem.Mol object at 0x315aa80b0>
C[S](C)=O,25000.0,<rdkit.Chem.rdchem.Mol object at 0x315aa8120>
CNC(=O)O\N=C\C(C)(C)[S](C)(=O)=O,0.28,<rdkit.Chem.rdchem.Mol object at 0x315aa8190>
CNC(=O)\C=C(/C)O[P](=O)(OC)OC,0.388,<rdkit.Chem.rdchem.Mol object at 0x315aa8200>
CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c3ccccc13,1.3,<rdkit.Chem.rdchem.Mol object at 0x315aa8270>
CCCCS[P](=O)(SCCCC)SCCCC,0.00663,<rdkit.Chem.rdchem.Mol object at 0x315aa82e0>
CC(C)(Oc1ccc(Cl)cc1)C(O)=O,141.2,<rdkit.Chem.rdchem.Mol object at 0x315aa8350>
NC(=O)N1c2ccccc2C=Cc3ccccc13,111.0,<rdkit.Chem.rdchem.Mol object at 0x315aa83c0>
OC(=O)c1ccccc1O,111.7,<rdkit.Chem.rdchem.Mol object at 0x315aa8430>
CC(=O)Nc1ccc(O)cc1,20.1,<rdkit.Chem.rdchem.Mol object at 0x315aa84a0>
CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(O)=O,30.3,<rdkit.Chem.rdchem.Mol object at 0x315aa8510>
Oc1ccc(cc1)c2ccccc2,3.6595365,<rdkit.Chem.rdchem.Mol object at 0x315aa8580>
CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c3ccc(Cl)cc3,0.00025,<rdkit.Chem.rdchem.Mol object at 0x315aa85f0>
Clc1ccc(CN2CCSC2=NC#N)cn1,88.0,<rdkit.Chem.rdchem.Mol object at 0x315aa8660>
